series,z1_opt_model,z1_opt_lags,z2_opt_model,z2_opt_lags,z3_opt_model,z3_opt_lags,z4_opt_model,z4_opt_lags,z5_opt_model,z5_opt_lags,z6_opt_model,z6_opt_lags,z7_opt_model,z7_opt_lags,z8_opt_model,z8_opt_lags,z9_opt_model,z9_opt_lags,z10_opt_model,z10_opt_lags
IMF 1,AR_24,7,AR_24,6,AR_24,6,AR_24,8,AR,6,AR_24,6,,,,,,,,
IMF 2,AR_24,8,AR,8,AR,8,AR_24,8,AR_24,8,AR_24,8,,,,,,,,
IMF 3,AR_24,8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,,,,,,,,
IMF 4,AR_24,8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,,,,,,,,
IMF 5,AR_24,8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,,,,,,,,
IMF 6,AR_24,8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,,,,,,,,
IMF 7,AR_24,8,AR_24,8,AR_24,8,AR_24,7,AR_24,7,AR_24,7,,,,,,,,
IMF 8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,,,,,,,,
IMF 9,AR_24,5,AR_24,6,AR,8,AR_24,6,AR,8,AR_24,6,,,,,,,,
Residual 10,AR_24,8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,,,,,,,,
Residual 3,AR_24,8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,,,,,,,,
Residual 4,AR_24,8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,,,,,,,,
Residual 5,AR_24,8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,,,,,,,,
Residual 6,AR_24,8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,,,,,,,,
Residual 7,AR_24,7,AR_24,7,AR_24,8,AR_24,7,AR_24,7,AR_24,7,,,,,,,,
Residual 8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,,,,,,,,
Residual 9,AR_24,8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,AR_24,8,,,,,,,,
